date,dead (0-19),dead (20-64),dead(65+)
2020-03-20,0,16,86
2020-03-21,0,33,185
2020-03-22,0,52,319
2020-03-23,0,77,467
2020-03-24,1,98,664
2020-03-25,1,137,903
2020-03-26,2,179,1198
2020-03-27,2,227,1524
2020-03-28,2,276,1859
2020-03-29,3,335,2264
2020-03-30,3,407,2732
2020-03-31,4,476,3266
2020-04-01,4,566,3874
2020-04-02,5,661,4509
2020-04-03,6,752,5160
2020-04-04,8,861,5887
2020-04-05,8,979,6598
2020-04-06,8,1073,7310
2020-04-07,8,1191,8101
2020-04-08,9,1319,8949
2020-04-09,10,1449,9693
2020-04-10,10,1566,10426
2020-04-11,11,1680,11175
2020-04-12,12,1785,11925
2020-04-13,12,1883,12632
2020-04-14,12,1986,13299
2020-04-15,12,2080,13987
2020-04-16,12,2162,14658
2020-04-17,13,2259,15303
2020-04-18,13,2330,15938
2020-04-19,13,2398,16558
2020-04-20,14,2480,17160
2020-04-21,14,2562,17729
2020-04-22,14,2646,18288
2020-04-23,14,2726,18803
2020-04-24,15,2774,19356
2020-04-25,15,2820,19864
2020-04-26,16,2859,20383
2020-04-27,17,2910,20837
2020-04-28,17,2958,21287
2020-04-29,17,2999,21741
2020-04-30,17,3047,22177
2020-05-01,17,3078,22625
2020-05-02,17,3111,23016
2020-05-03,17,3131,23384
2020-05-04,17,3159,23768
2020-05-05,17,3192,24127
2020-05-06,17,3218,24492
2020-05-07,17,3244,24865
2020-05-08,17,3264,25176
2020-05-09,17,3285,25486
2020-05-10,17,3308,25763
2020-05-11,17,3327,26004
2020-05-12,17,3346,26260
2020-05-13,18,3363,26498
2020-05-14,18,3382,26756
2020-05-15,19,3397,27009
2020-05-16,20,3418,27255
2020-05-17,21,3430,27464
2020-05-18,21,3443,27704
2020-05-19,21,3455,27923
2020-05-20,21,3468,28146
2020-05-21,21,3482,28334
2020-05-22,21,3497,28514
2020-05-23,21,3516,28695
2020-05-24,21,3525,28856
2020-05-25,21,3541,29015
2020-05-26,21,3549,29196
2020-05-27,21,3561,29356
2020-05-28,21,3571,29528
2020-05-29,21,3583,29679
2020-05-30,21,3588,29819
